id,original,neural,old_hybrid,gold,rule_ids,old_decision,new_decision
59:1,අධ්‍යාපන අමාත්‍යංශය විසින් පවත්වනු ලබන විභාග වල ප්‍රතිඵල ලබන සතියේ නිකුත් කෙරේ. සිසුන් හට තම ප්‍රතිඵල අන්තර්ජාලය හරහා ලබා ගැනීමට පහසුකම් සලසා ඇතැයි නිළධාරීන් සදහන් කළා.,අධ්‍යාපන අමාත්‍යාංශය විසින් පවත්වනු ලබන විභාගවල ප්‍රතිඵල ලබන සතියේ නිකුත් කෙරේ. සිසුන් හට තම ප්‍රතිඵල අන්තර්ජාලය හරහා ලබා ගැනීමට පහසුකම් සලසා ඇතැයි නිලධාරීන් සඳහන් කළා.,අධ්‍යාපන අමාත්‍යංශය විසින් පවත්වනු ලබන විභාගවල ප්‍රතිඵල ලබන සතියේ නිකුත් කෙරේ. සිසුන් හට තම ප්‍රතිඵල අන්තර්ජාලය හරහා ලබා ගැනීමට පහසුකම් සලසා ඇතැයි නිලධාරීන් සඳහන් කළා.,අධ්‍යාපන අමාත්‍යාංශය විසින් පවත්වනු ලබන විභාගවල ප්‍රතිඵල ලබන සතියේ නිකුත් කෙරේ. සිසුන් හට තම ප්‍රතිඵල අන්තර්ජාලය හරහා ලබා ගැනීමට පහසුකම් සලසා ඇතැයි නිලධාරීන් සඳහන් කළා.,ENTITY_PROTECT_001;SEMANTIC_ENTITY_001,REJECT,WARN/APPLY
60:7,"පරිසර දූශණය වැලැක්වීම සදහා රජය නව නීති පැනවීමට තීරනය කර ඇත. මේ යටතේ ප්ලාස්ටික් භාවිතය සීමා කිරීමට පියවර ගන්නා බවත්, වැරදිකරුවන්ට දැඩි දඩුවම් පමුනුවන බවත් ප්‍රකාශ වුනා.","පරිසර දූෂණය වැළැක්වීම සඳහා රජය නව නීති පැනවීමට තීරණය කර ඇත. මේ යටතේ ප්ලාස්ටික් භාවිතය සීමා කිරීමට පියවර ගන්නා බවත්, වැරදිකරුවන්ට දැඩි දඬුවම් පමුණුවන බවත් ප්‍රකාශ වුණා.","පරිසර දූෂණය වැළැක්වීම සඳහා රජය නව නීති පැනවීමට තීරණය කර ඇත. මේ යටතේ ප්ලාස්ටික් භාවිතය සීමා කිරීමට පියවර ගන්නා බවත්, වැරදිකරුවන්ට දැඩි දඬුවම් පමුණුවන බවත් ප්‍රකාශ වුනා.","පරිසර දූෂණය වැළැක්වීම සඳහා රජය නව නීති පැනවීමට තීරණය කර ඇත. මේ යටතේ ප්ලාස්ටික් භාවිතය සීමා කිරීමට පියවර ගන්නා බවත්, වැරදිකරුවන්ට දැඩි දඬුවම් පමුණුවන බවත් ප්‍රකාශ වුණා.",REGISTER_CONTEXT_001,SUGGEST,WARN/APPLY
62:1,"සෞඛ්‍ය අංශ විසින් නිකුත් කල නිවේදනයට අනුව, නව උණ රෝගයක් පැතිරීමේ අවදානමක් පවතී. එම නිසා පොදු ස්ථාන වල ගැවසීමේදී මුඛ ආවරන පැලදීම ඉතා වැදගත් බව වෛද්‍යවරු උපදෙස් දෙති.","සෞඛ්‍ය අංශ විසින් නිකුත් කළ නිවේදනයට අනුව, නව උණ රෝගයක් පැතිරීමේ අවදානමක් පවතී. එම නිසා පොදු ස්ථානවල ගැවසීමේදී මුඛ ආවරණ පැළඳීම ඉතා වැදගත් බව වෛද්‍යවරු උපදෙස් දෙති.","සෞඛ්‍ය අංශ විසින් නිකුත් කල නිවේදනයට අනුව, නව උණ රෝගයක් පැතිරීමේ අවදානමක් පවතී. එම නිසා පොදු ස්ථානවල ගැවසීමේදී මුඛ ආවරණ පැළඳීම ඉතා වැදගත් බව වෛද්‍යවරු උපදෙස් දෙති.","සෞඛ්‍ය අංශ විසින් නිකුත් කළ නිවේදනයට අනුව, නව උණ රෝගයක් පැතිරීමේ අවදානමක් පවතී. එම නිසා පොදු ස්ථානවල ගැවසීමේදී මුඛ ආවරණ පැළඳීම ඉතා වැදගත් බව වෛද්‍යවරු උපදෙස් දෙති.",AMBIG_KEEP_001,SUGGEST,WARN/APPLY
65:1,කාලගුන විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුල දිවයිනේ බොහෝ ප්‍රදේශ වලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කදුකර ප්‍රදේශ වලට තද වැසි අපේක්ෂා කල හැකිය.,කාලගුණ විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුළ දිවයිනේ බොහෝ ප්‍රදේශවලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කඳුකර ප්‍රදේශවලට තද වැසි අපේක්ෂා කළ හැකිය.,කාලගුන විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුල දිවයිනේ බොහෝ ප්‍රදේශ වලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කදුකර ප්‍රදේශ වලට තද වැසි අපේක්ෂා කල හැකිය.,කාලගුණ විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුළ දිවයිනේ බොහෝ ප්‍රදේශවලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කඳුකර ප්‍රදේශවලට තද වැසි අපේක්ෂා කළ හැකිය.,SEMANTIC_EDIT_SIZE_001,SUGGEST,WARN/APPLY
65:2,කාලගුන විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුල දිවයිනේ බොහෝ ප්‍රදේශ වලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කදුකර ප්‍රදේශ වලට තද වැසි අපේක්ෂා කල හැකිය.,කාලගුණ විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුළ දිවයිනේ බොහෝ ප්‍රදේශවලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කඳුකර ප්‍රදේශවලට තද වැසි අපේක්ෂා කළ හැකිය.,කාලගුන විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුල දිවයිනේ බොහෝ ප්‍රදේශ වලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කදුකර ප්‍රදේශ වලට තද වැසි අපේක්ෂා කල හැකිය.,කාලගුණ විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුළ දිවයිනේ බොහෝ ප්‍රදේශවලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කඳුකර ප්‍රදේශවලට තද වැසි අපේක්ෂා කළ හැකිය.,SEMANTIC_EDIT_SIZE_001,SUGGEST,WARN/APPLY
65:4,කාලගුන විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුල දිවයිනේ බොහෝ ප්‍රදේශ වලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කදුකර ප්‍රදේශ වලට තද වැසි අපේක්ෂා කල හැකිය.,කාලගුණ විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුළ දිවයිනේ බොහෝ ප්‍රදේශවලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කඳුකර ප්‍රදේශවලට තද වැසි අපේක්ෂා කළ හැකිය.,කාලගුන විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුල දිවයිනේ බොහෝ ප්‍රදේශ වලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කදුකර ප්‍රදේශ වලට තද වැසි අපේක්ෂා කල හැකිය.,කාලගුණ විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුළ දිවයිනේ බොහෝ ප්‍රදේශවලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කඳුකර ප්‍රදේශවලට තද වැසි අපේක්ෂා කළ හැකිය.,SEMANTIC_EDIT_SIZE_001,SUGGEST,WARN/APPLY
65:6,කාලගුන විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුල දිවයිනේ බොහෝ ප්‍රදේශ වලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කදුකර ප්‍රදේශ වලට තද වැසි අපේක්ෂා කල හැකිය.,කාලගුණ විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුළ දිවයිනේ බොහෝ ප්‍රදේශවලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කඳුකර ප්‍රදේශවලට තද වැසි අපේක්ෂා කළ හැකිය.,කාලගුන විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුල දිවයිනේ බොහෝ ප්‍රදේශ වලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කදුකර ප්‍රදේශ වලට තද වැසි අපේක්ෂා කල හැකිය.,කාලගුණ විද්‍යා දෙපාර්තමේන්තුව පවසන්නේ ඉදිරි පැය 24 තුළ දිවයිනේ බොහෝ ප්‍රදේශවලට වැසි ඇතිවිය හැකි බවයි. විශේෂයෙන්ම කඳුකර ප්‍රදේශවලට තද වැසි අපේක්ෂා කළ හැකිය.,AMBIG_KEEP_001,SUGGEST,WARN/APPLY
66:1,ජාත්‍යන්තර මූල්‍ය අරමුදල සමග පැවැත්වූ සාකච්ඡා සාර්ථක බව මුදල් අමාත්‍යංශය නිවේදනය කළේය. මෙරට ආර්ථික ස්ථාවර භාවය ඇති කිරීම සදහා මෙම ගිවිසුම ඉතා වැදගත් වනු ඇත.,ජාත්‍යන්තර මූල්‍ය අරමුදල සමඟ පැවැත්වූ සාකච්ඡා සාර්ථක බව මුදල් අමාත්‍යාංශය නිවේදනය කළේය. මෙරට ආර්ථික ස්ථාවරභාවය ඇති කිරීම සඳහා මෙම ගිවිසුම ඉතා වැදගත් වනු ඇත.,ජාත්‍යන්තර මූල්‍ය අරමුදල සමග පැවැත්වූ සාකච්ඡා සාර්ථක බව මුදල් අමාත්‍යංශය නිවේදනය කළේය. මෙරට ආර්ථික ස්ථාවරභාවය ඇති කිරීම සඳහා මෙම ගිවිසුම ඉතා වැදගත් වනු ඇත.,ජාත්‍යන්තර මූල්‍ය අරමුදල සමඟ පැවැත්වූ සාකච්ඡා සාර්ථක බව මුදල් අමාත්‍යාංශය නිවේදනය කළේය. මෙරට ආර්ථික ස්ථාවරභාවය ඇති කිරීම සඳහා මෙම ගිවිසුම ඉතා වැදගත් වනු ඇත.,AMBIG_KEEP_001,SUGGEST,WARN/APPLY
66:2,ජාත්‍යන්තර මූල්‍ය අරමුදල සමග පැවැත්වූ සාකච්ඡා සාර්ථක බව මුදල් අමාත්‍යංශය නිවේදනය කළේය. මෙරට ආර්ථික ස්ථාවර භාවය ඇති කිරීම සදහා මෙම ගිවිසුම ඉතා වැදගත් වනු ඇත.,ජාත්‍යන්තර මූල්‍ය අරමුදල සමඟ පැවැත්වූ සාකච්ඡා සාර්ථක බව මුදල් අමාත්‍යාංශය නිවේදනය කළේය. මෙරට ආර්ථික ස්ථාවරභාවය ඇති කිරීම සඳහා මෙම ගිවිසුම ඉතා වැදගත් වනු ඇත.,ජාත්‍යන්තර මූල්‍ය අරමුදල සමග පැවැත්වූ සාකච්ඡා සාර්ථක බව මුදල් අමාත්‍යංශය නිවේදනය කළේය. මෙරට ආර්ථික ස්ථාවරභාවය ඇති කිරීම සඳහා මෙම ගිවිසුම ඉතා වැදගත් වනු ඇත.,ජාත්‍යන්තර මූල්‍ය අරමුදල සමඟ පැවැත්වූ සාකච්ඡා සාර්ථක බව මුදල් අමාත්‍යාංශය නිවේදනය කළේය. මෙරට ආර්ථික ස්ථාවරභාවය ඇති කිරීම සඳහා මෙම ගිවිසුම ඉතා වැදගත් වනු ඇත.,ENTITY_PROTECT_001;SEMANTIC_ENTITY_001,REJECT,WARN/APPLY
80:3,"අනතුරුව සැකකරු මෝටර් රථයකින් පලාගොස් ඇති අතර, එම අවස්ථාවේ රෝහලේ ආරක්ෂක නිළධාරිණියක විසින් සැකකරු පලාගිය මෝටර් රථයේ අංකය ඡායාරූපගත කර තිබීම හේතුවෙන් විමර්ශන සදහා වැදගත් තොරතුරු ලැබී ඇති බව පොලීසිය සදහන් කලේය.","අනතුරුව සැකකරු මෝටර් රථයකින් පලාගොස් ඇති අතර, එම අවස්ථාවේ රෝහලේ ආරක්ෂක නිලධාරිණියක විසින් සැකකරු පලාගිය මෝටර් රථයේ අංකය ඡායාරූපගත කර තිබීම හේතුවෙන් විමර්ශන සඳහා වැදගත් තොරතුරු ලැබී ඇති බව පොලීසිය සඳහන් කළේය.","අනතුරුව සැකකරු මෝටර් රථයකින් පලාගොස් ඇති අතර, එම අවස්ථාවේ රෝහලේ ආරක්ෂක නිලධාරිණියක විසින් සැකකරු පලාගිය මෝටර් රථයේ අංකය ඡායාරූපගත කර තිබීම හේතුවෙන් විමර්ශන සඳහා වැදගත් තොරතුරු ලැබී ඇති බව පොලීසිය සදහන් කලේය.","අනතුරුව සැකකරු මෝටර් රථයකින් පළාගොස් ඇති අතර, එම අවස්ථාවේ රෝහලේ ආරක්ෂක නිලධාරිණියක විසින් සැකකරු පලාගිය මෝටර් රථයේ අංකය ඡායාරූපගත කර තිබීම හේතුවෙන් විමර්ශන සඳහා වැදගත් තොරතුරු ලැබී ඇති බව පොලීසිය සඳහන් කළේය.",VERB_VOICE_001;SEMANTIC_VOICE_001;PASSIVE_AUX_001,SUGGEST,WARN/APPLY
80:4,"අනතුරුව සැකකරු මෝටර් රථයකින් පලාගොස් ඇති අතර, එම අවස්ථාවේ රෝහලේ ආරක්ෂක නිළධාරිණියක විසින් සැකකරු පලාගිය මෝටර් රථයේ අංකය ඡායාරූපගත කර තිබීම හේතුවෙන් විමර්ශන සදහා වැදගත් තොරතුරු ලැබී ඇති බව පොලීසිය සදහන් කලේය.","අනතුරුව සැකකරු මෝටර් රථයකින් පලාගොස් ඇති අතර, එම අවස්ථාවේ රෝහලේ ආරක්ෂක නිලධාරිණියක විසින් සැකකරු පලාගිය මෝටර් රථයේ අංකය ඡායාරූපගත කර තිබීම හේතුවෙන් විමර්ශන සඳහා වැදගත් තොරතුරු ලැබී ඇති බව පොලීසිය සඳහන් කළේය.","අනතුරුව සැකකරු මෝටර් රථයකින් පලාගොස් ඇති අතර, එම අවස්ථාවේ රෝහලේ ආරක්ෂක නිලධාරිණියක විසින් සැකකරු පලාගිය මෝටර් රථයේ අංකය ඡායාරූපගත කර තිබීම හේතුවෙන් විමර්ශන සඳහා වැදගත් තොරතුරු ලැබී ඇති බව පොලීසිය සදහන් කලේය.","අනතුරුව සැකකරු මෝටර් රථයකින් පළාගොස් ඇති අතර, එම අවස්ථාවේ රෝහලේ ආරක්ෂක නිලධාරිණියක විසින් සැකකරු පලාගිය මෝටර් රථයේ අංකය ඡායාරූපගත කර තිබීම හේතුවෙන් විමර්ශන සඳහා වැදගත් තොරතුරු ලැබී ඇති බව පොලීසිය සඳහන් කළේය.",VERB_VOICE_001;SEMANTIC_VOICE_001;PASSIVE_AUX_001,SUGGEST,WARN/APPLY
98:1,පොලීසිය විමර්ශන ආරම්භ කර ඇත අද පෙරවරුවේ.,පොලීසිය අද පෙරවරුවේ විමර්ශන ආරම්භ කර ඇත.,පොලීසිය විමර්ශන ආරම්භ කර ඇත අද පෙරවරුවේ.,පොලීසිය අද පෙරවරුවේ විමර්ශන ආරම්භ කර ඇත.,SEMANTIC_EDIT_SIZE_001,SUGGEST,WARN/APPLY
130:2,"චමින්ද විජේසිරි සහ රියදුරු බන්දුල රත්නායක යන විත්තිකරුවන් දෙදෙනා චෝදනා 4කට, ඇමති ආරක්ෂක සේවයේ පොලිස් නිලධාරි රසික කරුනාතිලක චෝදනා 3ටත් වැරදිකරු බවට තීරණය කෙරුනි.","චමින්ද විජේසිරි සහ රියදුරු බන්දුල රත්නායක යන විත්තිකරුවන් දෙදෙනා චෝදනා 4කට, ඇමති ආරක්ෂක සේවයේ පොලිස් නිලධාරී රසික කරුණාතිලක චෝදනා 3ටත් වැරදිකරු බවට තීරණය කෙරිණි.","චමින්ද විජේසිරි සහ රියදුරු බන්දුල රත්නායක යන විත්තිකරුවන් දෙදෙනා චෝදනා 4කට, ඇමති ආරක්ෂක සේවයේ පොලිස් නිලධාරී රසික කරුනාතිලක චෝදනා 3ටත් වැරදිකරු බවට තීරණය කෙරිණි.","චමින්ද විජේසිරි සහ රියදුරු බන්දුල රත්නායක යන විත්තිකරුවන් දෙදෙනා චෝදනා 4කට, ඇමති ආරක්ෂක සේවයේ පොලිස් නිලධාරී රසික කරුණාතිලක චෝදනා 3ටත් වැරදිකරු බවට තීරණය කෙරුණි.",ENTITY_PROTECT_001;SEMANTIC_ENTITY_001,REJECT,WARN/APPLY
